RAW_CANON_5DMARK2_PREPROD_CR2
RAW_CANON_EOS_5DMARK3_CR2
RAW_CANON_EOS_5DS_CR2
RAW_NIKON_D5200_NEF
RAW_NIKON_D5300_NEF
RAW_NIKON_D7100_NEF
RAW_SONY_SLT-A58_ARW
RAW_SONY_SLT-A77V_ARW
RAW_SONY_SLTA65V_ARW
